Species	Eint	Emed	Emag	Esti	Efla	Efal	Cca	Eac	Ebr	Emax	Emit	Ene	Ete	Epr	Sne	Nca	Tgo	Hha
Ko01040	0.473684211	0.526315789	0.368421053	0.368421053	0.473684211	0.368421053	0.421052632	0.263157895	0.052631579	0.263157895	0.157894737	0.368421053	0.421052632	0	0.421052632	0.473684211	0.421052632	0.473684211
Ko01051	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0.5	0.5	0.5
Ko01053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ko01501	0	0	0	0	0	0	0	0.2	0	0.2	0	0	0	0	0	0	0	0
Ko01502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ko01504	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Ko01521	0.263157895	0.263157895	0.263157895	0.263157895	0.263157895	0.315789474	0.210526316	0.263157895	0.368421053	0.210526316	0.157894737	0.210526316	0.210526316	0.210526316	0.157894737	0.263157895	0.263157895	0.263157895
Ko01522	0.2	0.2	0.266666667	0.333333333	0.4	0.333333333	0.2	0.4	0.333333333	0.266666667	0.4	0.2	0.2	0.266666667	0.266666667	0.266666667	0.333333333	0.333333333
Ko01523	0.615384615	0.384615385	0.384615385	0.461538462	0.384615385	0.384615385	0.461538462	0.307692308	0.230769231	0.153846154	0.307692308	0.384615385	0.461538462	0.153846154	0.230769231	0.307692308	0.307692308	0.307692308
Ko01524	0.365853659	0.341463415	0.292682927	0.365853659	0.390243902	0.390243902	0.512195122	0.390243902	0.341463415	0.365853659	0.341463415	0.317073171	0.292682927	0.268292683	0.317073171	0.365853659	0.365853659	0.341463415
Ko02000	0.212121212	0.259259259	0.235690236	0.276094276	0.282828283	0.249158249	0.296296296	0.228956229	0.181818182	0.161616162	0.144781145	0.249158249	0.252525253	0.121212121	0.249158249	0.303030303	0.306397306	0.306397306
Ko02010	0.5625	0.625	0.5625	0.625	0.5	0.625	0.5625	0.375	0.3125	0.3125	0.3125	0.4375	0.5625	0.25	0.375	0.5625	0.5625	0.5625
Ko02020	0.3	0.4	0.35	0.4	0.5	0.65	0.4	0.4	0.3	0.3	0.25	0.45	0.4	0.25	0.45	0.45	0.45	0.45
Ko02022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ko02024	0.192307692	0.153846154	0.115384615	0.153846154	0.153846154	0.153846154	0.153846154	0.192307692	0.115384615	0.076923077	0.115384615	0.192307692	0.192307692	0.115384615	0.192307692	0.230769231	0.230769231	0.230769231
Ko02044	0.5	0.464285714	0.392857143	0.464285714	0.428571429	0.5	0.535714286	0.357142857	0.214285714	0.357142857	0.25	0.357142857	0.428571429	0.25	0.464285714	0.5	0.5	0.5
Ko02048	0.4	0.8	0.4	0.8	0.6	0.8	0.8	0.8	0.4	0.8	0.6	0.6	0.4	0.4	0.8	0.6	0.6	0.6
Ko03000	0.195121951	0.292682927	0.219512195	0.195121951	0.170731707	0.12195122	0.219512195	0.219512195	0.170731707	0.170731707	0.219512195	0.170731707	0.170731707	0.219512195	0.12195122	0.073170732	0.073170732	0.073170732
Ko03008	0.681818182	0.666666667	0.712121212	0.742424242	0.772727273	0.818181818	0.742424242	0.742424242	0.575757576	0.560606061	0.393939394	0.727272727	0.727272727	0.363636364	0.712121212	0.742424242	0.742424242	0.757575758
Ko03009	0.602564103	0.623931624	0.653846154	0.683760684	0.709401709	0.735042735	0.717948718	0.666666667	0.551282051	0.521367521	0.431623932	0.662393162	0.675213675	0.354700855	0.696581197	0.679487179	0.683760684	0.688034188
Ko03010	0.591304348	0.634782609	0.608695652	0.782608696	0.808695652	0.791304348	0.8	0.72173913	0.565217391	0.573913043	0.417391304	0.834782609	0.826086957	0.330434783	0.930434783	0.87826087	0.852173913	0.904347826
Ko03011	0.581967213	0.631147541	0.590163934	0.778688525	0.819672131	0.795081967	0.795081967	0.696721311	0.56557377	0.549180328	0.418032787	0.827868852	0.827868852	0.327868852	0.93442623	0.87704918	0.860655738	0.909836066
Ko03012	0.646341463	0.682926829	0.646341463	0.695121951	0.756097561	0.743902439	0.780487805	0.682926829	0.56097561	0.536585366	0.390243902	0.634146341	0.670731707	0.317073171	0.670731707	0.682926829	0.695121951	0.682926829
Ko03013	0.53	0.55	0.56	0.56	0.61	0.64	0.6	0.52	0.5	0.5	0.41	0.51	0.59	0.36	0.52	0.6	0.58	0.57
